True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9869000000000003,53,0.71%,100.00%,1.34%,2.65%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.81%,100.00%,66.50%,49.81%,不确定,0,0.00%,--,--,--,--
0.9868000000000003,53,0.71%,100.00%,1.34%,2.65%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.81%,100.00%,66.50%,49.81%,不确定,0,0.00%,--,--,--,--
0.9867000000000004,56,0.75%,100.00%,1.42%,2.81%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.83%,100.00%,66.52%,49.83%,不确定,0,0.00%,--,--,--,--
0.9866000000000004,58,0.77%,100.00%,1.48%,2.91%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.85%,100.00%,66.53%,49.85%,不确定,0,0.00%,--,--,--,--
0.9865000000000004,58,0.77%,100.00%,1.48%,2.91%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.85%,100.00%,66.53%,49.85%,不确定,0,0.00%,--,--,--,--
0.9864000000000004,58,0.77%,100.00%,1.48%,2.91%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.85%,100.00%,66.53%,49.85%,不确定,0,0.00%,--,--,--,--
0.9863000000000004,59,0.79%,100.00%,1.50%,2.96%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.85%,100.00%,66.54%,49.85%,不确定,0,0.00%,--,--,--,--
0.9862000000000004,60,0.80%,100.00%,1.53%,3.01%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.86%,100.00%,66.54%,49.86%,不确定,0,0.00%,--,--,--,--
0.9861000000000004,61,0.81%,100.00%,1.56%,3.06%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.87%,100.00%,66.55%,49.87%,不确定,0,0.00%,--,--,--,--
0.9860000000000004,62,0.83%,100.00%,1.58%,3.11%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.87%,100.00%,66.55%,49.87%,不确定,0,0.00%,--,--,--,--
